state,mu (mean),mu (95% central posterior interval),Negative tests per capita,Population/doctors
AK,2.566,[0.440;6.107],1.44,1112.28
AL,4.344,[1.522;7.262],0.46,1529.34
AR,5.199,[2.019;8.224],0.48,1503.90
AZ,8.133,[5.464;9.548],0.40,1535.46
CA,7.711,[2.710;12.682],0.50,1274.31
CO,4.57,[1.083;9.095],0.48,1233.97
CT,4.713,[0.929;9.701],1.04,1180.35
DE,1.991,[0.404;4.413],0.83,1400.10
FL,5.387,[2.180;8.445],0.56,1386.64
GA,5.697,[2.468;8.878],0.35,1521.15
HI,6.357,[1.063;15.506],0.43,1132.88
IA,4.711,[2.008;7.185],0.59,1390.72
ID,6.191,[2.933;9.168],0.36,1547.00
IL,3.486,[0.975;6.413],0.67,1233.53
IN,3.459,[0.841;6.867],0.59,1495.28
KS,2.04,[0.468;4.216],0.44,1313.14
KY,2.5,[0.538;5.368],0.40,1520.55
LA,5.034,[2.057;7.965],0.70,1502.94
MA,11.655,[5.964;16.329],1.16,962.52
MD,11.131,[5.763;15.695],0.71,1139.69
ME,8.642,[1.165;21.078],0.62,890.62
MI,2.874,[0.600;6.221],0.63,1261.06
MN,1.837,[0.381;4.024],0.85,1121.71
MO,6.855,[3.135;10.206],0.46,1416.65
MS,6.411,[2.890;9.597],0.23,1895.20
MT,3.676,[0.970;7.028],0.47,1348.67
NC,9.551,[4.640;14.009],0.43,1420.92
ND,4.359,[2.342;5.922],1.29,1315.89
NE,5.635,[2.743;8.189],0.50,1323.47
NH,7.703,[1.265;18.804],0.58,1101.32
NJ,3.461,[0.775;7.036],0.63,1191.80
NM,2.843,[0.588;6.074],0.51,1343.46
NV,4.338,[1.258;7.929],0.50,1761.57
NY,6.433,[2.360;10.692],0.88,1199.59
OH,9.229,[5.237;11.018],0.48,1304.40
OK,4.902,[1.740;8.191],0.26,1589.13
OR,7.733,[1.333;17.511],0.35,1081.78
PA,12.005,[4.890;18.452],0.44,1234.36
RI,4.757,[1.271;8.243],1.20,1036.73
SC,3.789,[1.093;6.951],0.41,1489.38
SD,2.629,[0.834;4.560],0.41,1319.29
TN,2.832,[0.750;5.411],0.52,1385.09
TX,6.45,[2.497;10.189],0.36,1657.01
UT,2.45,[0.573;5.129],0.56,1769.85
VA,8.731,[3.339;14.238],0.38,1309.64
VT,4.976,[0.712;12.655],0.89,883.44
WA,9.007,[2.274;16.210],0.29,1217.51
WI,2.314,[0.528;4.524],0.78,1252.43
WV,3.114,[0.613;7.358],0.64,1268.95
WY,4.297,[1.131;8.139],0.67,1474.81
